Date,Open,High,Low,Close*,Adj Close**,SPY Return,Volume
28-Sep-83,168.42,168.53,167.52,168,168,-0.255%,"75,820,000"
29-Sep-83,168.02,168.35,167.23,167.23,167.23,-0.458%,"73,730,000"
30-Sep-83,167.23,167.23,165.63,166.07,166.07,-0.694%,"70,860,000"
3-Oct-83,165.99,166.07,164.93,165.81,165.81,-0.157%,"77,230,000"
4-Oct-83,165.81,166.8,165.81,166.27,166.27,0.277%,"90,270,000"
5-Oct-83,166.29,167.74,165.92,167.74,167.74,0.884%,"101,710,000"
6-Oct-83,167.76,170.28,167.76,170.28,170.28,1.514%,"118,270,000"
7-Oct-83,170.32,171.1,170.31,170.8,170.8,0.305%,"103,630,000"
10-Oct-83,170.77,172.65,170.05,172.65,172.65,1.083%,"67,050,000"
11-Oct-83,172.59,172.59,170.34,170.34,170.34,-1.338%,"79,510,000"
12-Oct-83,170.34,170.84,169.34,169.62,169.62,-0.423%,"75,630,000"
13-Oct-83,169.63,170.12,169.13,169.87,169.87,0.147%,"67,750,000"
14-Oct-83,169.88,169.99,169.18,169.86,169.86,-0.006%,"71,600,000"
17-Oct-83,169.85,171.18,169.63,170.43,170.43,0.336%,"77,730,000"
18-Oct-83,170.41,170.41,167.67,167.81,167.81,-1.537%,"91,080,000"
19-Oct-83,167.81,167.81,165.67,166.73,166.73,-0.644%,"107,790,000"
20-Oct-83,166.77,167.35,166.44,166.98,166.98,0.150%,"86,000,000"
21-Oct-83,166.97,167.23,164.98,165.95,165.95,-0.617%,"91,640,000"
24-Oct-83,165.85,165.99,163.85,165.99,165.99,0.024%,"85,420,000"
25-Oct-83,166,167.15,166,166.47,166.47,0.289%,"82,530,000"
26-Oct-83,166.49,166.65,165.36,165.38,165.38,-0.655%,"79,570,000"
27-Oct-83,165.31,165.38,164.41,164.84,164.84,-0.327%,"79,570,000"
28-Oct-83,164.89,165.19,163.23,163.37,163.37,-0.892%,"81,180,000"
31-Oct-83,163.37,164.58,162.86,163.55,163.55,0.110%,"79,460,000"
1-Nov-83,163.55,163.66,162.37,163.66,163.66,0.067%,"84,460,000"
2-Nov-83,165.21,165.21,163.55,164.84,164.84,0.721%,"95,210,000"
3-Nov-83,164.84,164.85,163.42,163.45,163.45,-0.843%,"85,350,000"
4-Nov-83,162.68,163.45,162.22,162.44,162.44,-0.618%,"72,080,000"
7-Nov-83,162.42,162.56,161.84,161.91,161.91,-0.326%,"69,400,000"
8-Nov-83,161.91,162.15,161.63,161.76,161.76,-0.093%,"64,900,000"
9-Nov-83,161.74,163.97,161.74,163.97,163.97,1.366%,"83,100,000"
10-Nov-83,163.99,164.71,163.97,164.41,164.41,0.268%,"88,730,000"
11-Nov-83,164.41,166.3,164.34,166.29,166.29,1.143%,"74,270,000"
14-Nov-83,166.29,167.58,166.27,166.58,166.58,0.174%,"86,880,000"
15-Nov-83,166.58,166.59,165.28,165.36,165.36,-0.732%,"77,840,000"
16-Nov-83,165.36,166.41,165.34,166.08,166.08,0.435%,"83,380,000"
17-Nov-83,166.08,166.49,165.51,166.13,166.13,0.030%,"80,740,000"
18-Nov-83,166.08,166.13,164.5,165.09,165.09,-0.626%,"88,280,000"
21-Nov-83,165.04,166.05,165,166.05,166.05,0.582%,"97,740,000"
22-Nov-83,166.05,167.26,166.05,166.84,166.84,0.476%,"117,550,000"
23-Nov-83,166.88,167.21,166.26,166.96,166.96,0.072%,"108,080,000"
25-Nov-83,167.02,167.2,166.73,167.18,167.18,0.132%,"57,820,000"
28-Nov-83,167.2,167.22,166.21,166.54,166.54,-0.383%,"78,210,000"
29-Nov-83,166.54,167.92,166.17,167.91,167.91,0.823%,"100,460,000"
30-Nov-83,167.91,168.07,166.33,166.4,166.4,-0.899%,"120,130,000"
1-Dec-83,166.37,166.77,166.08,166.49,166.49,0.054%,"106,970,000"
2-Dec-83,166.49,166.7,165.25,165.44,165.44,-0.631%,"93,960,000"
5-Dec-83,165.44,165.79,164.71,165.76,165.76,0.193%,"88,330,000"
6-Dec-83,165.77,165.93,165.34,165.47,165.47,-0.175%,"89,690,000"
7-Dec-83,165.47,166.34,165.35,165.91,165.91,0.266%,"105,670,000"
8-Dec-83,165.91,166.01,164.86,165.2,165.2,-0.428%,"96,530,000"
9-Dec-83,165.2,165.29,164.5,165.08,165.08,-0.073%,"98,280,000"
12-Dec-83,165.13,165.62,164.99,165.62,165.62,0.327%,"77,340,000"
13-Dec-83,165.62,165.63,164.85,164.93,164.93,-0.417%,"93,500,000"
14-Dec-83,164.93,164.93,163.25,163.33,163.33,-0.970%,"85,430,000"
15-Dec-83,163.33,163.33,161.66,161.66,161.66,-1.022%,"88,300,000"
16-Dec-83,161.69,162.39,161.58,162.39,162.39,0.452%,"81,030,000"
19-Dec-83,162.34,162.88,162.27,162.32,162.32,-0.043%,"75,180,000"
20-Dec-83,162.33,162.8,161.64,162,162,-0.197%,"83,740,000"
21-Dec-83,162,163.57,161.99,163.56,163.56,0.963%,"108,080,000"
22-Dec-83,163.56,164.18,163.17,163.53,163.53,-0.018%,"106,260,000"
23-Dec-83,163.27,163.31,162.9,163.22,163.22,-0.190%,"62,710,000"
27-Dec-83,163.22,164.76,163.22,164.76,164.76,0.944%,"63,800,000"
28-Dec-83,164.69,165.34,164.3,165.34,165.34,0.352%,"85,660,000"
29-Dec-83,165.33,165.84,164.83,164.86,164.86,-0.290%,"86,560,000"
30-Dec-83,164.86,165.05,164.58,164.93,164.93,0.042%,"71,840,000"
3-Jan-84,164.93,164.93,163.98,164.04,164.04,-0.540%,"71,340,000"
4-Jan-84,164.09,166.78,164.04,166.78,166.78,1.670%,"112,980,000"
5-Jan-84,166.78,169.1,166.78,168.81,168.81,1.217%,"159,990,000"
6-Jan-84,168.81,169.31,168.49,169.28,169.28,0.278%,"137,590,000"
9-Jan-84,169.18,169.46,168.48,168.9,168.9,-0.224%,"107,100,000"
10-Jan-84,168.9,169.54,167.87,167.95,167.95,-0.562%,"109,570,000"
11-Jan-84,167.95,168.07,167.27,167.8,167.8,-0.089%,"98,660,000"
12-Jan-84,167.79,168.4,167.68,167.75,167.75,-0.030%,"99,410,000"
13-Jan-84,167.75,168.59,166.64,167.02,167.02,-0.435%,"101,790,000"
16-Jan-84,167.02,167.55,166.77,167.18,167.18,0.096%,"93,790,000"
17-Jan-84,167.18,167.84,167.01,167.83,167.83,0.389%,"92,750,000"
18-Jan-84,167.83,168.34,167.02,167.55,167.55,-0.167%,"109,010,000"
19-Jan-84,167.55,167.65,166.67,167.04,167.04,-0.304%,"98,340,000"
20-Jan-84,167.04,167.06,165.87,166.21,166.21,-0.497%,"93,360,000"
23-Jan-84,166.21,166.21,164.83,164.87,164.87,-0.806%,"82,010,000"
24-Jan-84,164.87,166.35,164.84,165.94,165.94,0.649%,"103,050,000"
25-Jan-84,165.94,167.12,164.74,164.84,164.84,-0.663%,"113,470,000"
26-Jan-84,164.84,165.55,164.12,164.24,164.24,-0.364%,"111,100,000"
